x,y
0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999778e-01,0.000000000000000000e+00
3.984077642561388855e-01,1.103585866009697547e-01
4.876130981791501617e-01,1.494876739510004604e-01
6.015922357438611145e-01,1.103585866009697547e-01
6.500000000000000222e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.499999999999999778e-01
1.110358586600969755e+00,3.984077642561388855e-01
1.149487673951000488e+00,4.876130981791501617e-01
1.110358586600969755e+00,6.015922357438611145e-01
1.000000000000000000e+00,6.500000000000000222e-01
1.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000222e-01,1.000000000000000000e+00
6.183710764094589862e-01,1.092131906903450078e+00
5.123869018208498938e-01,1.149487673951000488e+00
3.984077642561388855e-01,1.110358586600969755e+00
3.499999999999999778e-01,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,6.500000000000000222e-01
9.213190690345017531e-02,6.183710764094589862e-01
1.494876739510004604e-01,5.123869018208498938e-01
1.103585866009697547e-01,3.984077642561388855e-01
0.000000000000000000e+00,3.499999999999999778e-01
0.000000000000000000e+00,0.000000000000000000e+00
