x,y
0.000000000000000000e+00,0.000000000000000000e+00
1.842105263157894565e-02,0.000000000000000000e+00
3.684210526315789130e-02,0.000000000000000000e+00
5.526315789473683349e-02,0.000000000000000000e+00
7.368421052631578261e-02,0.000000000000000000e+00
9.210526315789473173e-02,0.000000000000000000e+00
1.105263157894736670e-01,0.000000000000000000e+00
1.289473684210526161e-01,0.000000000000000000e+00
1.473684210526315652e-01,0.000000000000000000e+00
1.657894736842105143e-01,0.000000000000000000e+00
1.842105263157894635e-01,0.000000000000000000e+00
2.026315789473684126e-01,0.000000000000000000e+00
2.210526315789473339e-01,0.000000000000000000e+00
2.394736842105262831e-01,0.000000000000000000e+00
2.578947368421052322e-01,0.000000000000000000e+00
2.763157894736841813e-01,0.000000000000000000e+00
2.947368421052631304e-01,0.000000000000000000e+00
3.131578947368420796e-01,0.000000000000000000e+00
3.315789473684210287e-01,0.000000000000000000e+00
3.499999999999999778e-01,0.000000000000000000e+00
3.499999999999999778e-01,1.836970198721029749e-17
3.520458044895916627e-01,2.468918854211010414e-02
3.581274137449048101e-01,4.870492038070254465e-02
3.680789373190266334e-01,7.139210895556104275e-02
3.816289235905410138e-01,9.213190690345018918e-02
3.984077642561388855e-01,1.103585866009697547e-01
4.179577762816359954e-01,1.255749717393792875e-01
4.397456863020545725e-01,1.373659989982586038e-01
4.631771769288801632e-01,1.454100398908995395e-01
4.876130981791501617e-01,1.494876739510004604e-01
5.123869018208498938e-01,1.494876739510004604e-01
5.368228230711198368e-01,1.454100398908995395e-01
5.602543136979454275e-01,1.373659989982586316e-01
5.820422237183640046e-01,1.255749717393792875e-01
6.015922357438611145e-01,1.103585866009697547e-01
6.183710764094589862e-01,9.213190690345017531e-02
6.319210626809733666e-01,7.139210895556102887e-02
6.418725862550951344e-01,4.870492038070252383e-02
6.479541955104083373e-01,2.468918854211008679e-02
6.500000000000000222e-01,0.000000000000000000e+00
6.500000000000000222e-01,0.000000000000000000e+00
6.684210526315789158e-01,0.000000000000000000e+00
6.868421052631579204e-01,0.000000000000000000e+00
7.052631578947368141e-01,0.000000000000000000e+00
7.236842105263158187e-01,0.000000000000000000e+00
7.421052631578947123e-01,0.000000000000000000e+00
7.605263157894737169e-01,0.000000000000000000e+00
7.789473684210526105e-01,0.000000000000000000e+00
7.973684210526316152e-01,0.000000000000000000e+00
8.157894736842105088e-01,0.000000000000000000e+00
8.342105263157895134e-01,0.000000000000000000e+00
8.526315789473684070e-01,0.000000000000000000e+00
8.710526315789473006e-01,0.000000000000000000e+00
8.894736842105263053e-01,0.000000000000000000e+00
9.078947368421053099e-01,0.000000000000000000e+00
9.263157894736842035e-01,0.000000000000000000e+00
9.447368421052630971e-01,0.000000000000000000e+00
9.631578947368421018e-01,0.000000000000000000e+00
9.815789473684211064e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.842105263157894565e-02
1.000000000000000000e+00,3.684210526315789130e-02
1.000000000000000000e+00,5.526315789473683349e-02
1.000000000000000000e+00,7.368421052631578261e-02
1.000000000000000000e+00,9.210526315789473173e-02
