x,y
3.758854384914693583e+03,3.821940786191756615e+03
3.927124363962882853e+03,3.816991669160927358e+03
4.070648757856926295e+03,3.802144318068440043e+03
4.263664322059260485e+03,3.767500498852636611e+03
4.481425471415740503e+03,3.752653147760149295e+03
4.629898982340613657e+03,3.737805796667661980e+03
4.669491918587245891e+03,3.841737254315073187e+03
4.684339269679733661e+03,3.995159882270774688e+03
4.704135737803049778e+03,4.193124563503938589e+03
4.723932205926365896e+03,4.272310435997203967e+03
4.768474259203828296e+03,4.287157787089690828e+03
4.847660131697093675e+03,4.227768382719741567e+03
4.921896887159529797e+03,4.178277212411450819e+03
5.010980993714453689e+03,4.173328095380621562e+03
5.085217749176889811e+03,4.222819265688913219e+03
5.129759802454351302e+03,4.306954255213007855e+03
5.149556270577667419e+03,4.400987478798760094e+03
5.139658036516009815e+03,4.514817170507829360e+03
5.080268632146060554e+03,4.623697745186069369e+03
5.006031876683624432e+03,4.658341564401872347e+03
4.936744238252016657e+03,4.638545096278556230e+03
4.867456599820409792e+03,4.608850394093581599e+03
4.793219844357973670e+03,4.589053925970265482e+03
4.758576025142169783e+03,4.598952160031923995e+03
4.748677791080511270e+03,4.678138032525189374e+03
4.753626908111340526e+03,4.816713309388404014e+03
4.758576025142169783e+03,5.108711214207320154e+03
4.753626908111340526e+03,5.291828544347996285e+03
4.664542801556416634e+03,5.311625012471312402e+03
4.585356929063151256e+03,5.336370597625457776e+03
4.481425471415740503e+03,5.366065299810432407e+03
4.431934301107449755e+03,5.371014416841261664e+03
4.392341364860817521e+03,5.326472363563800172e+03
4.377494013768329751e+03,5.252235608101363141e+03
4.397290481891645868e+03,5.177998852638927019e+03
4.426985184076620499e+03,5.113660331238149411e+03
4.436883418138279012e+03,5.019627107652396262e+03
4.412137832984133638e+03,4.940441235159130883e+03
4.352748428614184377e+03,4.871153596727524018e+03
4.268613439090089742e+03,4.846408011573378644e+03
4.174580215504337502e+03,4.851357128604206991e+03
4.095394343011071669e+03,4.900848298912497739e+03
4.045903172702780921e+03,4.960237703282447001e+03
4.045903172702780921e+03,5.059220043899029406e+03
4.065699640826097038e+03,5.158202384515610902e+03
4.105292577072729728e+03,5.262133842163021654e+03
4.134987279257704358e+03,5.326472363563800172e+03
4.120139928165217498e+03,5.375963533872090920e+03
4.085496108949413610e+03,5.405658236057065551e+03
4.006310236456148232e+03,5.400709119026236294e+03
3.887531427716250164e+03,5.390810884964577781e+03
3.773701736007180898e+03,5.395760001995407038e+03
3.758854384914693583e+03,5.237388257008876280e+03
3.768752618976351641e+03,5.064169160929857753e+03
3.758854384914693583e+03,4.900848298912497739e+03
3.753905267883864326e+03,4.762273022049284009e+03
3.739057916791377465e+03,4.658341564401872347e+03
3.699464980544744776e+03,4.638545096278556230e+03
3.610380873989820884e+03,4.668239798463530860e+03
3.521296767434897447e+03,4.697934500648505491e+03
3.422314426818315496e+03,4.692985383617676234e+03
3.377772373540853550e+03,4.633595979247726973e+03
3.348077671355879374e+03,4.549460989723633247e+03
3.338179437294220861e+03,4.455427766137880099e+03
3.353026788386708176e+03,4.341598074428810833e+03
3.392619724633340866e+03,4.267361318966374711e+03
3.481703831188264758e+03,4.217870148658083963e+03
3.546042352589042821e+03,4.242615733812229337e+03
3.625228225082308199e+03,4.277259553028033224e+03
3.689566746483086263e+03,4.302005138182178598e+03
3.724210565698890150e+03,4.292106904120520085e+03
3.748956150853035524e+03,4.237666616781400080e+03
3.739057916791377465e+03,4.178277212411450819e+03
3.709363214606402835e+03,4.123836925072330814e+03
3.679668512421428204e+03,4.044651052579065436e+03
3.669770278359770145e+03,3.960516063054971255e+03
3.679668512421428204e+03,3.861533722438389304e+03
3.714312331637231637e+03,3.831839020253414674e+03
3.758854384914693583e+03,3.821940786191756615e+03
2.293915743789283169e+03,1.565143420133691734e+03
2.417643669560010494e+03,1.555245186072033448e+03
