x,y
3.758854384914693583e+03,3.821940786191756615e+03
4.629898982340613657e+03,3.737805796667661980e+03
4.723932205926365896e+03,4.272310435997203967e+03
4.921896887159529797e+03,4.178277212411450819e+03
5.085217749176889811e+03,4.222819265688913219e+03
5.149556270577667419e+03,4.400987478798760094e+03
5.080268632146060554e+03,4.623697745186069369e+03
4.758576025142169783e+03,4.598952160031923995e+03
4.753626908111340526e+03,5.291828544347996285e+03
4.431934301107449755e+03,5.371014416841261664e+03
4.412137832984133638e+03,4.940441235159130883e+03
4.174580215504337502e+03,4.851357128604206991e+03
4.045903172702780921e+03,4.960237703282447001e+03
4.120139928165217498e+03,5.375963533872090920e+03
3.773701736007180898e+03,5.395760001995407038e+03
3.739057916791377465e+03,4.658341564401872347e+03
3.422314426818315496e+03,4.692985383617676234e+03
3.338179437294220861e+03,4.455427766137880099e+03
3.392619724633340866e+03,4.267361318966374711e+03
3.481703831188264758e+03,4.217870148658083963e+03
3.724210565698890150e+03,4.292106904120520085e+03
3.669770278359770145e+03,3.960516063054971255e+03
3.758854384914693583e+03,3.821940786191756615e+03
2.293915743789283169e+03,1.565143420133691734e+03
2.991741245136184716e+03,1.594838122318666365e+03
3.061028883567792036e+03,1.634431058565299054e+03
3.001639479197842775e+03,1.871988676045095190e+03
3.125367404968570099e+03,1.995716601815822514e+03
3.456958246034119384e+03,1.926428963384215194e+03
3.461907363064948186e+03,1.758158984336026151e+03
3.367874139479195492e+03,1.609685473411153453e+03
3.491602065249922816e+03,1.550296069041204419e+03
3.902378778808737025e+03,1.575041654195349793e+03
3.927124363962882853e+03,1.787853686521000782e+03
4.283460790182577512e+03,1.768057218397684437e+03
4.352748428614184377e+03,1.946225431507531539e+03
4.288409907213405859e+03,2.089749825401575436e+03
3.922175246932053597e+03,2.149139229771524242e+03
3.912277012870395538e+03,2.545068592237851590e+03
3.283739149955100856e+03,2.574763294422826220e+03
3.382721490571682807e+03,2.822219145964280415e+03
3.209502394492664735e+03,2.985540007981640429e+03
2.922453606704577396e+03,2.916252369550033109e+03
2.942250074827893968e+03,2.589610645515313081e+03
2.521575127207421247e+03,2.713338571286040406e+03
2.412694552529181237e+03,2.282765389603909625e+03
2.046459892247828520e+03,2.357002145066346202e+03
1.902935498353785079e+03,2.302561857727226197e+03
1.878189913199639477e+03,2.154088346802353499e+03
1.947477551631246797e+03,2.005614835877480800e+03
2.397847201436693922e+03,1.956123665569189825e+03
2.293915743789283169e+03,1.565143420133691734e+03
2.212255312780603163e+03,3.823044497655391183e+02
2.751709069140973952e+03,2.882712261797864244e+02
2.761607303202632011e+03,6.396585353686517692e+02
3.009063154744086660e+03,6.792514716152844585e+02
3.192180484884762791e+03,5.258288436595827307e+02
3.127841963483984728e+03,2.387800558714955343e+02
3.800921879676740900e+03,1.892888855632046443e+02
3.875158635139177022e+03,1.149417589544048042e+03
2.360728823705475861e+03,1.283043749376433652e+03
2.286492068243039284e+03,1.010842312680833516e+03
1.910359173900028736e+03,1.000944078619175343e+03
1.900460939838370450e+03,7.683355781702081231e+02
2.246899131996406595e+03,7.188444078619172615e+02
2.212255312780603163e+03,3.823044497655391183e+02
1.841071535468421416e+03,3.534891998403669277e+03
2.246899131996406595e+03,3.524993764342011218e+03
2.197407961688115847e+03,3.168657338122316560e+03
2.261746483088893910e+03,3.089471465629051181e+03
2.489405866507031988e+03,3.104318816721538496e+03
2.548795270876981249e+03,3.544790232465327790e+03
2.811098473510922759e+03,3.529942881372840475e+03
2.816047590541752015e+03,4.148582510226476188e+03
3.122892846453155471e+03,4.099091339918185440e+03
3.216926070038908165e+03,4.257463084904716197e+03
3.226824304100566678e+03,4.410885712860418607e+03
3.122892846453155471e+03,4.569257457846949364e+03
2.806149356480093957e+03,4.514817170507829360e+03
2.875436994911701277e+03,4.980034171405764027e+03
2.543846153846151992e+03,4.999830639529080145e+03
2.573540856031126623e+03,5.316574129502141659e+03
2.449812930260399298e+03,5.435352938242040182e+03
2.232051780903919280e+03,5.366065299810432407e+03
2.281542951212210482e+03,5.039423575775712379e+03
1.895511822807541421e+03,4.881051830789181622e+03
1.826224184375934101e+03,4.396038361767930837e+03
1.603513917988625053e+03,4.490071585353683986e+03
1.469887758156239670e+03,4.371292776613785463e+03
1.469887758156239670e+03,4.128786042103160071e+03
1.563920981741992364e+03,4.005058116332432746e+03
1.860868003591737761e+03,4.054549286640723949e+03
1.841071535468421416e+03,3.534891998403669277e+03
