epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.84832,1.38479,3.3614,1.39659,0.00925,0.52063,0.0722,0.04472,1.21094,3.34091,1.41493,8.574e-05,8.574e-05,8.574e-05
2,4.27925,1.29826,3.12723,1.24186,0.01293,0.66667,0.41953,0.25867,1.31506,2.85479,1.1605,0.000183931,0.000183931,0.000183931
3,5.60403,1.43246,2.1034,1.19867,0.30103,0.64444,0.42719,0.26242,1.44023,2.45553,1.13306,0.000280141,0.000280141,0.000280141
4,6.84903,1.41265,1.61937,1.16361,0.01428,0.66667,0.50793,0.33153,1.32121,2.60025,1.07174,0.000374371,0.000374371,0.000374371
5,8.11838,1.3986,1.2931,1.16996,1,0.28713,0.52668,0.34937,1.45092,2.49473,1.14031,0.00046662,0.00046662,0.00046662
6,9.41304,1.39739,1.12325,1.14548,0.98954,0.33333,0.53992,0.34244,1.49622,2.32361,1.14173,0.000556888,0.000556888,0.000556888
7,10.7241,1.41977,1.08325,1.14433,0.97696,0.64519,0.66333,0.4452,1.46929,1.5464,1.05028,0.000645176,0.000645176,0.000645176
8,12.0092,1.40177,1.03685,1.1328,0.98322,0.63707,0.66087,0.41397,1.55874,1.78995,1.1017,0.000731484,0.000731484,0.000731484
9,13.3072,1.35721,1.00137,1.10377,0.97124,0.60349,0.65755,0.433,1.46378,1.731,1.11392,0.00081581,0.00081581,0.00081581
10,14.5488,1.34703,0.92394,1.12102,0.92662,0.47128,0.66332,0.4599,1.43375,1.91456,1.11871,0.000898157,0.000898157,0.000898157
11,15.8207,1.38517,0.97394,1.13473,0.85683,0.42651,0.63837,0.41803,1.39496,1.90903,1.10356,0.000978522,0.000978522,0.000978522
12,17.1481,1.30197,0.92483,1.09879,0.81384,0.44423,0.70275,0.42634,1.41379,1.79223,1.07524,0.00105691,0.00105691,0.00105691
13,18.4762,1.35977,0.86639,1.11561,0.70525,0.45872,0.68386,0.38701,1.54104,1.90458,1.11897,0.00113331,0.00113331,0.00113331
14,19.751,1.34466,0.87494,1.08161,0.75594,0.53737,0.78226,0.42166,1.37003,1.71387,1.08302,0.00120774,0.00120774,0.00120774
15,20.9538,1.35943,0.88362,1.11858,0.62635,0.4309,0.4552,0.25766,1.54283,1.97913,1.17105,0.00123094,0.00123094,0.00123094
16,22.1566,1.38029,0.86441,1.12584,0.76587,0.8,0.79558,0.4741,1.49097,1.01077,1.13568,0.00121679,0.00121679,0.00121679
17,23.3674,1.32885,0.83616,1.105,0.82563,0.85,0.86417,0.50763,1.40619,0.91944,1.10117,0.00120265,0.00120265,0.00120265
18,24.5931,1.32063,0.84549,1.11167,0.76483,0.82942,0.80398,0.45334,1.56233,0.91236,1.11661,0.0011885,0.0011885,0.0011885
19,25.8041,1.34623,0.83357,1.11614,0.81151,0.84984,0.84882,0.46505,1.5338,0.97046,1.18189,0.00117435,0.00117435,0.00117435
20,27.0623,1.3442,0.81388,1.12026,0.80275,0.83333,0.82464,0.47798,1.53143,1.07736,1.16601,0.00116021,0.00116021,0.00116021
21,28.3039,1.33864,0.85675,1.10062,0.82273,0.84167,0.87612,0.50311,1.47078,1.01938,1.13688,0.00114606,0.00114606,0.00114606
22,29.4615,1.34424,0.78902,1.09403,0.82741,0.85,0.88261,0.50745,1.42044,0.87025,1.12113,0.00113191,0.00113191,0.00113191
23,30.6114,1.33511,0.80148,1.11214,0.86366,0.90418,0.87967,0.50874,1.34008,0.74513,1.11376,0.00111776,0.00111776,0.00111776
24,31.7796,1.30626,0.77286,1.10428,0.88643,0.9,0.86829,0.52782,1.36421,0.71442,1.11778,0.00110362,0.00110362,0.00110362
25,32.9333,1.29229,0.77624,1.08131,0.85178,0.88569,0.84592,0.5186,1.40348,0.72569,1.12073,0.00108947,0.00108947,0.00108947
26,34.1018,1.31746,0.7657,1.08809,0.86565,0.93716,0.8929,0.51905,1.35752,0.76472,1.10381,0.00107532,0.00107532,0.00107532
